bowler,balls_bowled,runs_conceded,wickets,dot_balls,wides,no_balls,matches_bowled,fours_conceded,sixes_conceded,economy_rate,bowling_average,bowling_sr,dot_ball_pct,wickets_per_match,economy_powerplay,economy_middle,economy_death,three_wicket_haul,five_wicket_haul
D Wiese,296,447,17,86,10,1,15,47,11,9.06,26.29,17.41,29.05,1.13,8.12,9.48,9.6,2,0
Rasikh Salam,331,549,17,107,10,2,18,48,28,9.95,32.29,19.47,32.33,0.94,8.95,10.64,10.12,3,0
ST Jayasuriya,294,396,16,86,7,0,21,22,16,8.08,24.75,18.38,29.25,0.76,11.5,7.45,10.71,3,0
CR Brathwaite,254,384,16,78,9,3,16,37,12,9.07,24.0,15.88,30.71,1.0,6.0,9.34,10.5,2,0
AC Thomas,315,416,16,133,10,2,15,41,11,7.92,26.0,19.69,42.22,1.07,6.53,8.83,10.12,1,0
RG Sharma,339,462,16,94,10,0,32,29,14,8.18,28.88,21.19,27.73,0.5,7.62,8.07,10.4,2,0
VRV Singh,360,549,16,121,7,4,18,58,16,9.15,34.31,22.5,33.61,0.89,9.67,8.82,9.24,2,0
N Burger,289,468,16,138,3,0,14,44,24,9.72,29.25,18.06,47.75,1.14,10.04,9.84,8.3,0,0
G Coetzee,277,490,15,106,14,1,14,41,26,10.61,32.67,18.47,38.27,1.07,10.91,10.76,10.11,2,0
DR Sams,360,528,15,144,27,2,16,41,25,8.8,35.2,24.0,40.0,0.94,7.15,10.42,11.75,2,0
YA Abdulla,209,311,15,92,12,1,11,32,13,8.93,20.73,13.93,44.02,1.36,6.82,10.67,11.21,3,0
SJ Srivastava,282,444,15,106,23,1,14,50,13,9.45,29.6,18.8,37.59,1.07,9.59,8.5,11.43,0,0
Mohammad Nabi,417,527,15,153,2,0,23,33,26,7.58,35.13,27.8,36.69,0.65,6.45,8.5,10.0,1,0
R Shepherd,292,591,15,89,7,0,22,42,43,12.14,39.4,19.47,30.48,0.68,7.8,11.87,14.7,2,0
RR Powar,426,538,15,174,16,1,26,41,18,7.58,35.87,28.4,40.85,0.58,7.27,7.72,10.0,0,0
AN Ahmed,344,515,15,131,13,5,17,43,20,8.98,34.33,22.93,38.08,0.88,8.08,8.13,12.0,1,0
KA Jamieson,280,460,15,114,8,3,14,44,26,9.86,30.67,18.67,40.71,1.07,9.34,8.73,13.47,2,0
PVD Chameera,405,658,15,165,13,2,20,67,31,9.75,43.87,27.0,40.74,0.75,9.56,8.05,11.58,1,0
Umar Gul,135,198,14,59,12,6,6,17,5,8.8,14.14,9.64,43.7,2.33,6.43,8.78,11.38,2,0
Kamran Khan,166,248,14,71,10,1,9,25,10,8.96,17.71,11.86,42.77,1.56,9.33,7.0,10.41,2,0
GD McGrath,324,366,14,162,4,1,14,41,10,6.78,26.14,23.14,50.0,1.0,5.97,7.0,9.45,1,0
S Lamichhane,210,297,14,77,1,0,9,21,17,8.49,21.21,15.0,36.67,1.56,8.29,8.1,19.0,2,0
AB McDonald,186,263,14,52,2,0,10,20,11,8.48,18.79,13.29,27.96,1.4,8.8,7.75,10.2,2,0
Arshad Khan,296,546,14,119,19,0,19,60,27,11.07,39.0,21.14,40.2,0.74,10.08,11.17,13.91,1,0
V Nigam,289,444,14,97,0,0,17,30,25,9.22,31.71,20.64,33.56,0.82,8.74,10.07,5.69,0,0
Karanveer Singh,204,323,14,66,9,0,9,19,19,9.5,23.07,14.57,32.35,1.56,8.67,9.32,12.67,2,0
R McLaren,354,558,14,128,15,3,18,69,11,9.46,39.86,25.29,36.16,0.78,8.61,9.58,11.25,1,0
JR Hopes,360,562,14,119,9,0,20,44,28,9.37,40.14,25.71,33.06,0.7,6.29,9.18,11.43,0,0
KR Sen,241,396,14,89,12,2,12,41,16,9.86,28.29,17.21,36.93,1.17,9.1,8.68,13.96,2,0
DJG Sammy,236,354,14,75,6,2,19,33,12,9.0,25.29,16.86,31.78,0.74,8.78,8.62,11.77,2,1
CJ Anderson,297,525,14,86,18,0,22,52,23,10.61,37.5,21.21,28.96,0.64,9.82,9.23,14.91,1,0
BA Bhatt,296,408,13,98,6,1,15,35,13,8.27,31.38,22.77,33.11,0.87,7.06,8.94,9.07,1,0
TK Curran,238,432,13,59,11,3,13,33,23,10.89,33.23,18.31,24.79,1.0,9.57,8.97,13.61,1,0
CK Langeveldt,156,199,13,75,8,1,7,17,8,7.65,15.31,12.0,48.08,1.86,7.07,8.8,8.0,1,0
SM Pollock,276,307,13,132,4,0,13,30,9,6.67,23.62,21.23,47.83,1.0,6.51,7.33,,1,0
Harsh Dubey,168,242,13,57,0,0,9,16,13,8.64,18.62,12.92,33.93,1.44,9.48,8.87,6.0,2,0
AS Roy,264,360,13,98,6,0,16,24,18,8.18,27.69,20.31,37.12,0.81,8.67,7.63,9.0,0,0
JDP Oram,237,362,13,86,6,1,14,34,14,9.16,27.85,18.23,36.29,0.93,9.37,9.12,8.88,1,0
J Theron,221,311,13,75,12,2,10,28,9,8.44,23.92,17.0,33.94,1.3,9.21,7.1,8.73,1,0
J Little,228,341,13,84,8,0,11,30,16,8.97,26.23,17.54,36.84,1.18,9.2,7.87,10.62,2,0
Joginder Sharma,256,421,13,73,9,7,15,38,17,9.87,32.38,19.69,28.52,0.87,11.25,8.96,11.61,0,0
RS Bopara,206,301,13,66,7,0,14,25,10,8.77,23.15,15.85,32.04,0.93,8.0,8.51,10.17,1,0
Nithish Kumar Reddy,264,454,13,83,7,2,20,33,26,10.32,34.92,20.31,31.44,0.65,10.16,9.98,13.3,1,0
LS Livingstone,312,471,13,82,9,0,27,38,19,9.06,36.23,24.0,26.28,0.48,6.8,9.45,7.0,1,0
AG Murtaza,264,322,12,106,5,0,12,22,14,7.32,26.83,22.0,40.15,1.0,5.13,7.93,15.5,3,0
Ankit Sharma,367,453,12,139,8,0,21,28,18,7.41,37.75,30.58,37.87,0.57,5.86,8.31,19.71,0,0
V Shankar,238,344,12,80,15,5,22,29,12,8.67,28.67,19.83,33.61,0.55,9.0,8.81,7.64,0,0
V Pratap Singh,204,300,12,75,7,0,9,31,10,8.82,25.0,17.0,36.76,1.33,8.47,9.27,9.0,1,0
Simarjeet Singh,243,411,12,109,12,1,14,36,25,10.15,34.25,20.25,44.86,0.86,9.88,9.77,13.0,1,0
SC Ganguly,276,370,12,82,3,1,20,25,14,8.04,30.83,23.0,29.71,0.6,8.17,7.59,25.0,2,0
BCJ Cutting,281,430,12,78,7,0,17,44,15,9.18,35.83,23.42,27.76,0.71,9.22,7.95,12.72,0,0
Azmatullah Omarzai,295,476,12,110,5,0,15,51,18,9.68,39.67,24.58,37.29,0.8,9.56,8.49,12.0,0,0
K Kartikeya,283,412,12,91,7,0,16,25,23,8.73,34.33,23.58,32.16,0.75,8.83,8.36,13.33,0,0
A Chandila,234,245,11,105,0,0,12,17,10,6.28,22.27,21.27,44.87,0.92,5.79,7.89,6.0,1,0
TS Mills,209,349,11,75,9,0,10,37,14,10.02,31.73,19.0,35.89,1.1,8.83,10.57,10.75,1,0
BE Hendricks,150,239,11,55,6,1,7,24,7,9.56,21.73,13.64,36.67,1.57,10.73,7.71,9.57,2,0
S Badree,258,329,11,114,5,0,12,28,14,7.65,29.91,23.45,44.19,0.92,7.68,7.6,,1,0
JL Pattinson,213,321,11,78,9,0,10,34,10,9.04,29.18,19.36,36.62,1.1,8.76,8.86,10.67,0,0
JD Ryder,236,314,11,84,5,0,16,21,13,7.98,28.55,21.45,35.59,0.69,6.0,7.87,12.0,1,0
Pankaj Singh,300,472,11,115,10,1,17,52,17,9.44,42.91,27.27,38.33,0.65,7.9,10.23,14.57,0,0
Lalit Yadav,288,430,11,86,5,1,19,26,24,8.96,39.09,26.18,29.86,0.58,9.28,8.61,11.0,0,0
R Parag,328,516,11,80,6,0,34,32,25,9.44,46.91,29.82,24.39,0.32,8.0,9.57,12.4,0,0
KP Appanna,216,291,11,70,6,0,13,20,11,8.08,26.45,19.64,32.41,0.85,9.33,7.97,,1,0
Akash Deep,291,554,11,105,7,4,14,48,33,11.42,50.36,26.45,36.08,0.79,10.35,11.49,14.79,1,0
OC McCoy,162,255,11,51,17,1,8,20,9,9.44,23.18,14.73,31.48,1.38,6.0,11.01,8.95,1,0
Abhishek Sharma,354,544,11,101,7,1,35,38,27,9.22,49.45,32.18,28.53,0.31,9.65,9.01,9.82,0,0
MA Wood,120,192,11,54,6,1,5,13,12,9.6,17.45,10.91,45.0,2.2,8.2,7.38,13.14,2,1
N Rana,218,326,11,68,5,0,27,31,13,8.97,29.64,19.82,31.19,0.41,9.55,9.1,7.04,0,0
MP Yadav,151,244,10,72,2,1,7,22,15,9.7,24.4,15.1,47.68,1.43,11.18,8.51,11.43,2,0
T Thushara,135,164,10,60,7,2,6,15,4,7.29,16.4,13.5,44.44,1.67,5.73,5.2,11.54,1,0
B Laughlin,168,284,10,44,10,1,9,26,10,10.14,28.4,16.8,26.19,1.11,10.17,7.64,13.22,0,0
KMA Paul,163,239,10,54,12,5,8,18,8,8.8,23.9,16.3,33.13,1.25,16.5,7.21,11.19,2,0
J Syed Mohammad,192,286,10,50,4,0,11,18,12,8.94,28.6,19.2,26.04,0.91,5.25,9.59,6.0,0,0
MN Samuels,214,285,10,80,5,0,11,23,12,7.99,28.5,21.4,37.38,0.91,6.23,7.8,11.35,1,0
Anand Rajan,149,206,10,62,12,1,8,17,8,8.3,20.6,14.9,41.61,1.25,6.44,7.18,14.28,1,0
DJ Hooda,380,550,10,107,11,0,34,40,23,8.68,55.0,38.0,28.16,0.29,7.24,9.08,12.0,0,0
DJ Hussey,317,485,10,92,6,0,26,30,25,9.18,48.5,31.7,29.02,0.38,10.25,7.9,16.29,0,0
P Parameswaran,154,226,9,66,4,1,8,23,10,8.81,25.11,17.11,42.86,1.12,9.75,7.4,10.55,1,0
Akash Singh,205,326,9,73,3,0,10,39,13,9.54,36.22,22.78,35.61,0.9,9.18,10.62,10.0,0,0
J Overton,161,272,9,58,0,0,10,18,17,10.14,30.22,17.89,36.02,0.9,13.03,9.07,9.78,2,0
J Yadav,390,447,9,155,6,2,20,31,15,6.88,49.67,43.33,39.74,0.45,7.48,6.32,,0,0
JEC Franklin,151,225,9,41,2,2,15,21,6,8.94,25.0,16.78,27.15,0.6,10.0,8.31,19.0,0,0
KP Pietersen,174,218,9,57,6,0,13,10,9,7.52,24.22,19.33,32.76,0.69,6.0,7.74,9.67,0,0
SE Bond,186,225,9,76,5,0,8,27,3,7.26,25.0,20.67,40.86,1.12,6.33,6.14,9.67,0,0
SB Styris,216,278,9,85,6,0,11,19,14,7.72,30.89,24.0,39.35,0.82,6.09,7.78,10.14,1,0
Shahid Afridi,180,237,9,65,4,1,10,19,7,7.9,26.33,20.0,36.11,0.9,7.0,8.35,7.0,1,0
SMSM Senanayake,192,211,9,75,3,0,8,17,5,6.59,23.44,21.33,39.06,1.12,5.29,9.44,7.5,0,0
IS Sodhi,181,204,9,66,1,0,8,9,8,6.76,22.67,20.11,36.46,1.12,6.38,6.68,36.0,1,0
BAW Mendis,244,306,9,79,3,1,10,17,12,7.52,34.0,27.11,32.38,0.9,6.79,7.55,9.0,0,0
AM Nayar,229,323,9,70,10,0,19,22,13,8.46,35.89,25.44,30.57,0.47,7.25,8.59,9.0,1,0
AF Milne,207,339,9,77,9,1,10,35,13,9.83,37.67,23.0,37.2,0.9,9.89,9.62,9.88,2,0
Mohammad Asif,192,307,9,71,6,1,8,37,8,9.59,34.11,21.33,36.98,1.12,9.8,7.67,11.38,0,0
N Thushara,182,289,9,63,14,2,8,28,10,9.53,32.11,20.22,34.62,1.12,9.22,8.8,10.47,2,0
S Sandeep Warrier,168,257,8,75,6,2,10,25,14,9.18,32.12,21.0,44.64,0.8,9.46,7.5,,1,0
S Randiv,174,223,8,60,6,0,8,20,5,7.69,27.88,21.75,34.48,1.0,7.2,7.5,11.0,0,0
A Mithun,288,477,8,95,15,9,16,42,21,9.94,59.62,36.0,32.99,0.5,9.06,9.32,11.92,0,0
AA Chavan,248,339,8,110,7,0,13,28,16,8.2,42.38,31.0,44.35,0.62,7.39,9.17,16.5,0,0
AM Ghazanfar,104,146,8,38,0,0,5,10,8,8.42,18.25,13.0,36.54,1.6,8.9,8.87,1.0,0,0
WG Jacks,144,221,8,49,1,0,13,17,11,9.21,27.62,18.0,34.03,0.62,10.53,8.39,10.29,0,0
GC Viljoen,138,229,8,47,8,0,6,25,6,9.96,28.62,17.25,34.06,1.33,9.17,8.0,15.6,1,0
Zeeshan Ansari,209,334,8,54,0,0,10,24,17,9.59,41.75,26.12,25.84,0.8,,9.26,12.0,1,0
KC Cariappa,216,349,8,62,6,2,11,23,19,9.69,43.62,27.0,28.7,0.73,11.0,8.96,11.0,0,0
I Udana,174,286,8,49,8,0,10,26,11,9.86,35.75,21.75,28.16,0.8,11.0,8.8,9.78,0,0
Yudhvir Singh,143,257,8,61,2,0,9,28,13,10.78,32.12,17.88,42.66,0.89,10.33,10.67,14.5,1,0
JDS Neesham,216,342,8,68,6,0,13,32,14,9.5,42.75,27.0,31.48,0.62,9.64,9.08,18.0,1,0
M Ntini,210,257,8,108,1,2,9,29,8,7.34,32.12,26.25,51.43,0.89,7.0,6.75,9.6,1,0
TL Suman,150,198,7,44,0,2,11,8,10,7.92,28.29,21.43,29.33,0.64,7.0,7.17,12.0,0,0
C de Grandhomme,216,323,7,62,12,2,19,22,13,8.97,46.14,30.86,28.7,0.37,6.0,9.33,9.75,1,0
Y Venugopal Rao,216,338,7,60,6,0,20,30,13,9.39,48.29,30.86,27.78,0.35,9.57,8.81,14.0,0,0
AM Salvi,150,205,7,61,6,0,7,18,7,8.2,29.29,21.43,40.67,1.0,8.08,7.71,9.2,0,0
HF Gurney,162,239,7,51,6,1,8,23,7,8.85,34.14,23.14,31.48,0.88,6.0,8.12,13.5,0,0
DJ Willey,216,277,7,84,5,0,11,28,8,7.69,39.57,30.86,38.89,0.64,6.71,9.12,10.75,0,0
B Akhil,188,246,7,64,4,1,13,18,9,7.85,35.14,26.86,34.04,0.54,7.5,7.21,12.9,0,0
Sakib Hussain,106,147,7,43,0,0,4,12,6,8.32,21.0,15.14,40.57,1.75,7.71,9.41,7.33,1,0
Shivang Kumar,133,210,7,39,0,0,7,21,9,9.47,30.0,19.0,29.32,1.0,,9.47,,1,0
P Amarnath,132,241,7,34,0,0,6,29,7,10.95,34.43,18.86,25.76,1.17,11.0,10.42,21.0,0,0
XC Bartlett,221,394,7,73,0,0,11,46,16,10.7,56.29,31.57,33.03,0.64,10.58,12.0,9.86,0,0
M Siddharth,166,238,7,59,1,2,8,17,11,8.6,34.0,23.71,35.54,0.88,7.78,8.38,12.63,0,0
S Dube,144,260,7,33,5,0,17,19,12,10.83,37.14,20.57,22.92,0.41,,10.36,12.35,1,0
RR Raje,139,214,7,41,4,1,10,23,4,9.24,30.57,19.86,29.5,0.7,11.33,7.89,12.21,0,0
Ramandeep Singh,61,95,7,19,5,0,6,6,4,9.34,13.57,8.71,31.15,1.17,,10.5,8.07,1,0
KM Asif,134,232,7,47,8,1,7,16,14,10.39,33.14,19.14,35.07,1.0,9.67,9.91,15.43,0,0
R Shukla,120,217,7,44,7,3,7,21,9,10.85,31.0,17.14,36.67,1.0,8.8,11.29,16.67,0,0
OF Smith,90,179,7,36,4,1,6,12,16,11.93,25.57,12.86,40.0,1.17,7.75,12.75,15.33,1,0
PC Valthaty,151,207,7,46,2,0,10,15,7,8.23,29.57,21.57,30.46,0.7,9.0,8.09,9.23,1,0
Brijesh Sharma,126,180,7,48,0,0,6,22,4,8.57,25.71,18.0,38.1,1.17,7.91,8.04,9.5,0,0
Swapnil Singh,162,241,7,39,2,1,14,14,12,8.93,34.43,23.14,24.07,0.5,8.54,9.29,,0,0
AJ Hosein,108,150,7,40,0,0,5,8,10,8.33,21.43,15.43,37.04,1.4,7.93,8.5,12.0,1,0
D Pretorius,150,242,7,46,16,0,7,14,11,9.68,34.57,21.43,30.67,1.0,,7.21,12.82,0,0
B Stanlake,144,200,7,64,6,0,6,19,9,8.33,28.57,20.57,44.44,1.17,7.93,8.67,11.0,0,0
V Sehwag,136,236,6,45,1,1,15,19,16,10.41,39.33,22.67,33.09,0.4,18.67,8.83,12.6,0,0
S Tyagi,209,304,6,99,8,3,14,34,12,8.73,50.67,34.83,47.37,0.43,8.38,7.25,17.45,0,0
SB Bangar,150,221,6,57,3,0,9,24,7,8.84,36.83,25.0,38.0,0.67,5.0,9.44,13.33,0,0
DG Nalkande,84,150,6,24,4,1,6,10,8,10.71,25.0,14.0,28.57,1.0,11.0,10.3,12.5,0,0
W O'Rourke,64,132,6,17,0,0,3,16,6,12.38,22.0,10.67,26.56,2.0,12.48,12.0,12.86,1,0
AK Markram,224,344,6,59,1,1,23,18,21,9.21,57.33,37.33,26.34,0.26,7.97,9.82,8.73,0,0
SS Cottrell,120,177,6,59,11,0,6,19,8,8.85,29.5,20.0,49.17,1.0,7.71,7.0,16.0,0,0
Fazalhaq Farooqi,256,440,6,85,10,0,12,55,12,10.31,73.33,42.67,33.2,0.5,8.82,9.92,14.88,0,0
Ashok Sharma,136,233,6,63,0,0,6,21,14,10.28,38.83,22.67,46.32,1.0,14.64,7.97,10.75,0,0
VS Malik,205,268,6,88,5,2,13,30,6,7.84,44.67,34.17,42.93,0.46,7.8,7.62,10.29,0,0
V Puthur,73,109,6,25,0,0,5,4,9,8.96,18.17,12.17,34.25,1.2,,8.5,11.08,1,0
KMDN Kulasekara,102,122,6,47,5,0,5,16,0,7.18,20.33,17.0,46.08,1.2,7.45,8.0,6.4,0,0
R Sathish,139,233,6,31,5,0,14,18,10,10.06,38.83,23.17,22.3,0.43,4.0,9.45,18.46,0,0
M de Lange,108,171,6,41,6,2,5,21,4,9.5,28.5,18.0,37.96,1.2,8.2,9.67,12.0,1,0
MG Bracewell,66,95,6,26,0,0,5,7,6,8.64,15.83,11.0,39.39,1.2,5.4,11.33,,0,0
K Khejroliya,140,250,6,41,6,2,8,17,15,10.71,41.67,23.33,29.29,0.75,12.0,8.87,12.97,0,0
PP Hinge,79,145,6,36,0,0,3,11,11,11.01,24.17,13.17,45.57,2.0,12.3,10.62,9.23,1,0
RV Gomez,96,130,6,38,1,0,9,10,7,8.12,21.67,16.0,39.58,0.67,4.0,7.57,20.0,0,0
JE Taylor,117,167,6,54,4,1,5,10,9,8.56,27.83,19.5,46.15,1.2,6.38,6.67,11.29,1,0
Jaskaran Singh,102,174,6,42,5,4,7,23,4,10.24,29.0,17.0,41.18,0.86,8.33,10.0,14.75,0,0
S Narwal,106,203,6,38,7,0,6,17,13,11.49,33.83,17.67,35.85,1.0,9.08,16.64,16.5,1,0
S Kaushik,204,304,6,72,5,1,10,25,14,8.94,50.67,34.0,35.29,0.6,8.75,8.0,16.67,1,0
JA Duffy,80,139,6,37,0,0,3,8,12,10.42,23.17,13.33,46.25,2.0,10.59,6.46,13.12,1,0
FH Edwards,140,160,6,75,9,1,6,20,2,6.86,26.67,23.33,53.57,1.0,4.69,8.0,10.23,0,0
V Kohli,251,371,5,55,7,6,26,25,11,8.87,74.2,50.2,21.91,0.19,6.21,8.73,16.29,0,0
RJW Topley,120,222,5,44,5,0,6,23,13,11.1,44.4,24.0,36.67,0.83,8.73,13.8,14.25,0,0
SH Johnson,169,289,5,66,3,0,9,30,15,10.26,57.8,33.8,39.05,0.56,10.21,11.45,9.07,0,0
SB Wagh,102,147,5,50,6,0,8,21,2,8.65,29.4,20.4,49.02,0.62,8.0,,13.5,1,0
O Thomas,60,85,5,22,1,2,4,9,1,8.5,17.0,12.0,36.67,1.25,9.67,4.5,9.0,0,0
PD Collingwood,89,101,5,24,1,0,6,4,3,6.81,20.2,17.8,26.97,0.83,,7.25,4.94,0,0
MJ Henry,163,314,5,44,3,0,9,26,18,11.56,62.8,32.6,26.99,0.56,10.95,13.95,10.0,0,0
S Ladda,138,225,5,49,2,1,9,12,17,9.78,45.0,27.6,35.51,0.56,10.83,9.15,10.25,0,0
TM Dilshan,271,368,5,81,4,0,25,27,15,8.15,73.6,54.2,29.89,0.2,7.15,8.33,11.54,0,0
HR Shokeen,204,320,5,82,7,2,13,20,20,9.41,64.0,40.8,40.2,0.38,8.15,10.19,,0,0
Shoaib Ahmed,102,154,5,35,1,0,7,14,7,9.06,30.8,20.4,34.31,0.71,10.5,7.1,20.0,0,0
A Choudhary,101,144,5,42,6,1,5,13,6,8.55,28.8,20.2,41.58,1.0,6.0,11.59,10.0,0,0
Gurkeerat Singh,78,97,5,26,4,0,6,6,3,7.46,19.4,15.6,33.33,0.83,7.67,7.4,,0,0
AP Dole,66,114,5,21,6,1,3,11,4,10.36,22.8,13.2,31.82,1.67,11.17,8.5,13.0,0,0
KL Nagarkoti,180,287,5,52,5,0,11,21,14,9.57,57.4,36.0,28.89,0.45,9.0,10.05,7.0,0,0
Ankit Soni,109,145,4,38,3,0,6,8,7,7.98,36.25,27.25,34.86,0.67,3.5,8.38,24.0,0,0
WA Mota,72,98,4,25,2,1,7,4,5,8.17,24.5,18.0,34.72,0.57,,6.1,18.5,0,0
Shashank Singh,61,91,4,16,1,0,6,8,3,8.95,22.75,15.25,26.23,0.67,,7.35,15.5,0,0
Y Nagar,66,125,4,16,2,4,8,11,6,11.36,31.25,16.5,24.24,0.5,10.0,11.5,,0,0
Shivam Sharma,114,165,4,37,0,0,5,9,10,8.68,41.25,28.5,32.46,0.8,2.0,9.2,8.33,0,0
DJ Muthuswami,84,108,4,47,0,0,6,14,3,7.71,27.0,21.0,55.95,0.67,8.25,8.0,1.0,0,0
Arjun Tendulkar,73,117,4,33,9,1,5,10,5,9.62,29.25,18.25,45.21,0.8,6.9,32.25,6.0,0,0
DP Vijaykumar,152,205,4,69,5,2,9,23,5,8.09,51.25,38.0,45.39,0.44,7.41,6.0,12.69,0,0
Parvez Rasool,198,273,4,62,2,0,11,22,11,8.27,68.25,49.5,31.31,0.36,8.23,8.3,,0,0
LE Plunkett,150,228,4,42,4,0,7,15,12,9.12,57.0,37.5,28.0,0.57,10.78,8.0,8.43,1,0
Sikandar Raza,85,146,3,23,3,0,7,15,4,10.31,48.67,28.33,27.06,0.43,14.0,9.7,,0,0
AL Menaria,110,144,3,40,3,0,12,15,4,7.85,48.0,36.67,36.36,0.25,6.7,8.21,12.5,0,0
SM Harwood,60,74,3,34,7,0,3,6,2,7.4,24.67,20.0,56.67,1.0,2.33,10.25,8.67,0,0
VR Iyer,81,145,3,17,2,1,9,12,7,10.74,48.33,27.0,20.99,0.33,,10.4,11.71,0,0
Abhinandan Singh,60,122,3,17,0,0,3,13,7,12.2,40.67,20.0,28.33,1.0,17.25,8.54,9.6,0,0
GHS Garton,90,136,3,32,5,2,5,11,6,9.07,45.33,30.0,35.56,0.6,10.8,5.33,6.0,0,0
Gagandeep Singh,84,142,3,26,0,0,4,14,6,10.14,47.33,28.0,30.95,0.75,7.0,7.9,18.67,0,0
Gurjapneet Singh,88,139,3,31,0,0,5,9,9,9.48,46.33,29.33,35.23,0.6,11.0,9.36,9.38,0,0
T Shamsi,120,185,3,32,0,0,5,14,8,9.25,61.67,40.0,26.67,0.6,8.0,8.85,15.0,0,0
RN ten Doeschate,78,94,3,22,5,0,10,4,3,7.23,31.33,26.0,28.21,0.3,,6.83,12.0,0,0
P Sahu,105,152,3,27,2,0,5,11,5,8.69,50.67,35.0,25.71,0.6,9.33,8.55,,0,0
JA Richardson,90,162,3,32,4,0,4,12,10,10.8,54.0,30.0,35.56,0.75,10.8,10.12,13.5,0,0
JJ van der Wath,72,134,3,31,2,2,3,17,6,11.17,44.67,24.0,43.06,1.0,8.2,14.67,12.25,0,0
MJ Clarke,66,72,3,24,0,0,5,4,2,6.55,24.0,22.0,36.36,0.6,6.0,6.67,,0,0
A Flintoff,66,106,2,21,0,0,3,7,7,9.64,53.0,33.0,31.82,0.67,7.67,6.2,17.33,0,0
MK Lomror,90,127,2,22,4,0,11,8,5,8.47,63.5,45.0,24.44,0.18,7.25,8.91,,0,0
DNT Zoysa,66,100,2,25,1,2,3,12,3,9.09,50.0,33.0,37.88,0.67,7.57,13.0,11.33,0,0
AU Rashid,60,91,2,20,0,0,3,4,7,9.1,45.5,30.0,33.33,0.67,9.67,8.86,,0,0
KT Maphaka,68,148,2,26,3,0,4,18,8,13.06,74.0,34.0,38.24,0.5,11.86,13.29,17.0,0,0
RJ Gleeson,69,111,2,26,3,1,3,14,3,9.65,55.5,34.5,37.68,0.67,9.6,8.75,10.8,0,0
Mayank Dagar,137,205,2,44,1,0,8,14,11,8.98,102.5,68.5,32.12,0.25,11.5,8.28,12.0,0,0
LJ Wright,71,125,2,15,4,0,6,5,9,10.56,62.5,35.5,21.13,0.33,12.0,9.7,19.2,0,0
P Suyal,96,154,2,39,7,4,5,16,5,9.62,77.0,48.0,40.62,0.4,10.0,6.33,12.5,0,0
KJ Abbott,96,182,2,30,5,1,5,24,4,11.38,91.0,48.0,31.25,0.4,10.43,12.0,12.33,0,0
C Bosch,65,95,2,34,0,0,3,7,7,8.77,47.5,32.5,52.31,0.67,11.0,10.74,4.57,0,0
FA Allen,90,136,2,26,1,0,4,11,7,9.07,68.0,45.0,28.89,0.5,9.75,8.82,,0,0
Mohammad Hafeez,60,71,2,25,2,1,4,5,2,7.1,35.5,30.0,41.67,0.5,8.0,7.0,,0,0
P Dubey,78,112,2,24,1,0,5,10,5,8.62,56.0,39.0,30.77,0.4,4.0,9.45,,0,0
V Viyaskanth,60,90,1,19,0,0,3,4,6,9.0,90.0,60.0,31.67,0.33,5.5,9.88,,0,0
AA Jhunjhunwala,85,130,1,28,3,0,10,10,5,9.18,130.0,85.0,32.94,0.1,8.17,9.88,12.0,0,0
TP Sudhindra,70,137,1,19,3,1,3,9,9,11.74,137.0,70.0,27.14,0.33,10.0,11.6,14.62,0,0
K Goel,66,94,0,20,1,0,6,9,2,8.55,,,30.3,0.0,5.0,8.9,,0,0
