season,team,matches_played,matches_won,win_pct,toss_wins,toss_bat_choice
2008,Royal Challengers Bangalore,14,4,28.6,5,2
2008,Kings XI Punjab,15,10,66.7,8,4
2008,Delhi Capitals,14,7,50.0,6,2
2008,Mumbai Indians,14,7,50.0,8,1
2008,Kolkata Knight Riders,13,6,46.2,6,6
2008,Rajasthan Royals,16,13,81.2,11,3
2008,Deccan Chargers,14,2,14.3,9,4
2008,Chennai Super Kings,16,9,56.2,5,4
2009,Chennai Super Kings,14,8,57.1,7,6
2009,Royal Challengers Bangalore,16,9,56.2,8,5
2009,Delhi Capitals,15,10,66.7,9,4
2009,Deccan Chargers,16,9,56.2,10,5
2009,Kings XI Punjab,14,7,50.0,6,3
2009,Kolkata Knight Riders,13,3,23.1,7,4
2009,Mumbai Indians,13,5,38.5,6,6
2009,Rajasthan Royals,13,6,46.2,4,2
2010,Deccan Chargers,16,8,50.0,9,5
2010,Mumbai Indians,16,11,68.8,9,7
2010,Kings XI Punjab,14,4,28.6,5,3
2010,Kolkata Knight Riders,14,7,50.0,7,6
2010,Chennai Super Kings,16,9,56.2,10,7
2010,Rajasthan Royals,14,6,42.9,6,5
2010,Royal Challengers Bangalore,16,8,50.0,6,1
2010,Delhi Capitals,14,7,50.0,8,5
2011,Chennai Super Kings,16,11,68.8,9,7
2011,Deccan Chargers,14,6,42.9,6,3
2011,Kochi Tuskers Kerala,14,6,42.9,8,3
2011,Delhi Capitals,14,4,28.6,9,4
2011,Pune Warriors India,14,4,28.6,5,2
2011,Kolkata Knight Riders,15,8,53.3,7,1
2011,Rajasthan Royals,13,6,46.2,7,1
2011,Royal Challengers Bangalore,16,10,62.5,6,0
2011,Kings XI Punjab,14,7,50.0,10,3
2011,Mumbai Indians,16,10,62.5,6,1
2012,Chennai Super Kings,18,10,55.6,7,4
2012,Kolkata Knight Riders,17,12,70.6,7,4
2012,Mumbai Indians,17,10,58.8,11,3
2012,Rajasthan Royals,16,7,43.8,10,8
2012,Royal Challengers Bangalore,15,8,53.3,6,1
2012,Deccan Chargers,15,4,26.7,9,7
2012,Pune Warriors India,16,4,25.0,6,4
2012,Delhi Capitals,18,11,61.1,10,2
2012,Kings XI Punjab,16,8,50.0,8,4
2013,Kolkata Knight Riders,16,6,37.5,12,6
2013,Royal Challengers Bangalore,16,9,56.2,5,2
2013,Sunrisers Hyderabad,17,10,58.8,7,6
2013,Delhi Capitals,16,3,18.8,5,3
2013,Chennai Super Kings,18,12,66.7,8,5
2013,Pune Warriors India,16,4,25.0,9,5
2013,Rajasthan Royals,18,11,61.1,11,6
2013,Mumbai Indians,19,13,68.4,12,10
2013,Kings XI Punjab,16,8,50.0,7,2
2014,Mumbai Indians,15,7,46.7,6,3
2014,Delhi Capitals,14,2,14.3,4,1
2014,Chennai Super Kings,16,10,62.5,10,4
2014,Sunrisers Hyderabad,14,6,42.9,7,4
2014,Royal Challengers Bangalore,14,5,35.7,9,2
2014,Kolkata Knight Riders,16,11,68.8,9,2
2014,Rajasthan Royals,14,7,50.0,8,2
2014,Kings XI Punjab,17,12,70.6,7,1
2015,Kolkata Knight Riders,13,7,53.8,8,1
2015,Chennai Super Kings,17,10,58.8,10,7
2015,Kings XI Punjab,14,3,21.4,7,3
2015,Delhi Capitals,14,5,35.7,5,2
2015,Mumbai Indians,16,10,62.5,7,5
2015,Royal Challengers Bangalore,16,8,50.0,10,2
2015,Rajasthan Royals,14,7,50.0,6,1
2015,Sunrisers Hyderabad,14,7,50.0,6,4
2016,Mumbai Indians,14,7,50.0,9,2
2016,Kolkata Knight Riders,15,8,53.3,6,0
2016,Kings XI Punjab,14,4,28.6,6,2
2016,Royal Challengers Bangalore,16,9,56.2,6,1
2016,Gujarat Lions,16,9,56.2,8,0
2016,Delhi Capitals,14,7,50.0,8,0
2016,Sunrisers Hyderabad,17,11,64.7,10,3
2016,Rising Pune Supergiants,14,5,35.7,7,3
2017,Sunrisers Hyderabad,14,8,57.1,5,1
2017,Rising Pune Supergiants,16,10,62.5,6,0
2017,Gujarat Lions,14,4,28.6,7,1
2017,Kings XI Punjab,14,7,50.0,4,0
2017,Royal Challengers Bangalore,13,3,23.1,9,4
2017,Mumbai Indians,17,12,70.6,11,2
2017,Kolkata Knight Riders,16,9,56.2,9,0
2017,Delhi Capitals,14,6,42.9,8,3
2018,Mumbai Indians,14,6,42.9,5,1
2018,Delhi Capitals,14,5,35.7,8,3
2018,Royal Challengers Bangalore,14,6,42.9,7,0
2018,Rajasthan Royals,15,7,46.7,6,2
2018,Kolkata Knight Riders,16,9,56.2,9,0
2018,Kings XI Punjab,14,6,42.9,7,1
2018,Chennai Super Kings,16,11,68.8,11,1
2018,Sunrisers Hyderabad,17,10,58.8,7,2
2019,Royal Challengers Bangalore,14,5,35.7,4,0
2019,Sunrisers Hyderabad,15,6,40.0,4,0
2019,Delhi Capitals,16,10,62.5,10,2
2019,Kings XI Punjab,14,6,42.9,6,0
2019,Kolkata Knight Riders,14,6,42.9,5,0
2019,Mumbai Indians,16,11,68.8,8,3
2019,Rajasthan Royals,14,5,35.7,11,2
2019,Chennai Super Kings,17,10,58.8,12,3
2020,Mumbai Indians,16,11,68.8,8,4
2020,Delhi Capitals,17,9,52.9,10,5
2020,Royal Challengers Bangalore,15,7,46.7,6,4
2020,Rajasthan Royals,14,6,42.9,7,2
2020,Kings XI Punjab,14,6,42.9,4,1
2020,Sunrisers Hyderabad,16,8,50.0,11,4
2020,Kolkata Knight Riders,14,7,50.0,6,4
2020,Chennai Super Kings,14,6,42.9,8,3
2021,Mumbai Indians,14,7,50.0,8,3
2021,Chennai Super Kings,16,11,68.8,6,2
2021,Kolkata Knight Riders,17,9,52.9,8,1
2021,Punjab Kings,14,6,42.9,5,1
2021,Royal Challengers Bangalore,15,9,60.0,10,4
2021,Delhi Capitals,16,10,62.5,8,1
2021,Rajasthan Royals,14,5,35.7,8,1
2021,Sunrisers Hyderabad,14,3,21.4,7,3
2022,Chennai Super Kings,14,4,28.6,6,2
2022,Mumbai Indians,14,4,28.6,9,0
2022,Royal Challengers Bangalore,16,9,56.2,8,2
2022,Lucknow Super Giants,15,9,60.0,7,2
2022,Rajasthan Royals,17,10,58.8,4,2
2022,Kolkata Knight Riders,14,6,42.9,8,1
2022,Punjab Kings,14,7,50.0,4,1
2022,Gujarat Titans,16,12,75.0,10,4
2022,Delhi Capitals,14,7,50.0,8,0
2022,Sunrisers Hyderabad,14,6,42.9,10,1
2023,Chennai Super Kings,16,10,62.5,10,4
2023,Punjab Kings,14,6,42.9,5,1
2023,Lucknow Super Giants,15,8,53.3,3,0
2023,Rajasthan Royals,14,7,50.0,10,4
2023,Mumbai Indians,16,9,56.2,10,1
2023,Delhi Capitals,14,5,35.7,7,2
2023,Kolkata Knight Riders,14,6,42.9,5,1
2023,Sunrisers Hyderabad,14,4,28.6,7,3
2023,Gujarat Titans,17,11,64.7,9,2
2023,Royal Challengers Bangalore,14,7,50.0,8,3
2024,Royal Challengers Bangalore,15,7,46.7,8,2
2024,Delhi Capitals,14,7,50.0,7,2
2024,Kolkata Knight Riders,14,11,78.6,3,1
2024,Rajasthan Royals,15,9,60.0,11,3
2024,Gujarat Titans,12,5,41.7,3,0
2024,Punjab Kings,14,5,35.7,10,2
2024,Chennai Super Kings,14,7,50.0,3,0
2024,Sunrisers Hyderabad,16,9,56.2,7,4
2024,Lucknow Super Giants,14,7,50.0,9,4
2024,Mumbai Indians,14,4,28.6,10,1
2025,Kolkata Knight Riders,13,5,38.5,6,2
2025,Sunrisers Hyderabad,14,6,42.9,7,2
2025,Mumbai Indians,16,9,56.2,8,1
2025,Lucknow Super Giants,14,6,42.9,5,1
2025,Punjab Kings,18,10,55.6,13,6
2025,Rajasthan Royals,14,4,28.6,7,0
2025,Royal Challengers Bangalore,15,11,73.3,7,0
2025,Gujarat Titans,15,9,60.0,7,0
2025,Delhi Capitals,15,6,40.0,8,1
2025,Chennai Super Kings,14,4,28.6,6,1
2026,Sunrisers Hyderabad,8,5,62.5,1,0
2026,Kolkata Knight Riders,8,1,12.5,4,2
2026,Chennai Super Kings,8,3,37.5,2,0
2026,Gujarat Titans,8,4,50.0,3,0
2026,Lucknow Super Giants,8,2,25.0,5,0
2026,Mumbai Indians,7,2,28.6,4,0
2026,Rajasthan Royals,9,6,66.7,6,2
2026,Royal Challengers Bangalore,8,6,75.0,4,0
2026,Punjab Kings,8,6,75.0,4,0
2026,Delhi Capitals,8,3,37.5,7,1
